id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice,location_ch2,cell_id_ch2,cell_id_ch2_viz,lys_id_in_cell,lysosome_signal_individual,cell_signal_total,lysosome_core_signal,cell_volume_um3,lysosome_core_volume_um3,cell_id_serial,lys_id_serial
41,7.48,9.013165,27.549675,0.17473149299621582,0.34946298599243164,0.022346122365358996,8053,44,cell,5,5,8,311313.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,8
42,2.21,6.0371203,8.673046,0.1943586766719818,0.3887173533439636,0.030753914991615488,6405,13,cell,1,1,2,496542.0,46168764.0,3385949.0,22.67898159477708,0.27009761837532253,1,2
43,9.86,18.323935,12.2443,0.154898539185524,0.309797078371048,0.015567919434980166,5865,58,cell,0,0,0,200219.0,0.0,0.0,0.0,0.0,0,0
44,10.54,20.577227,24.446085,0.15010471642017365,0.3002094328403473,0.014166795485767988,6975,62,cell,0,0,0,198951.0,0.0,0.0,0.0,0.0,0,0
45,2.21,8.077837,7.822747,0.17352277040481567,0.34704554080963135,0.021885578353771726,5764,13,cell,1,1,3,222724.0,46168764.0,3385949.0,22.67898159477708,0.27009761837532253,1,3
46,9.690001,0.21257466,14.795197,0.2106025665998459,0.4212051331996918,0.03912727368260065,6232,57,cell,0,0,0,672191.0,0.0,0.0,0.0,0.0,0,0
47,7.14,20.704771,14.837711,0.34102681279182434,0.6820536255836487,0.16613234214710534,6336,42,cell,3,3,9,1708367.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,9
48,6.9700003,10.883822,13.307174,0.14369355142116547,0.28738710284233093,0.012427977122276942,5644,41,cell,4,4,5,168717.0,100568336.0,10171305.0,21.434504513525596,0.29406532512535116,4,5
49,8.67,14.242502,7.7802324,0.15275545418262482,0.30551090836524963,0.014930652467472473,5437,51,cell,6,6,4,161125.0,122872848.0,12707566.0,30.383370201744615,0.503321841750601,6,4
50,10.54,17.558666,22.23531,0.16536417603492737,0.33072835206985474,0.018941436091878438,5609,62,cell,0,0,0,191178.0,0.0,0.0,0.0,0.0,0,0
51,11.05,22.107765,23.170637,0.15801061689853668,0.31602123379707336,0.016525226288100495,6067,65,cell,0,0,0,204679.0,0.0,0.0,0.0,0.0,0,0
52,8.67,17.133518,25.84908,0.17526380717754364,0.3505276143550873,0.02255097552601898,4450,51,cell,0,0,0,207357.0,0.0,0.0,0.0,0.0,0,0
53,4.08,7.5251427,8.970651,0.2270248532295227,0.4540497064590454,0.04901272173114829,4778,24,cell,1,1,7,598041.0,46168764.0,3385949.0,22.67898159477708,0.27009761837532253,1,7
54,5.78,19.769444,13.647293,0.3468265235424042,0.6936530470848083,0.1747533530612432,4865,34,cell,3,3,5,1912648.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,5
55,5.78,10.713762,10.161069,0.15551596879959106,0.31103193759918213,0.015754824866859498,4209,34,cell,0,0,0,139320.0,0.0,0.0,0.0,0.0,0,0
56,5.61,21.044891,14.710166,0.2218277007341385,0.443655401468277,0.04572312893477156,5310,33,cell,3,3,3,673653.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,3
57,10.03,15.26286,27.677221,0.14055278897285461,0.28110557794570923,0.011630731027905131,4082,59,cell,0,0,0,104710.0,0.0,0.0,0.0,0.0,0,0
58,7.31,10.883822,25.976624,0.16354651749134064,0.3270930349826813,0.018323672111062273,3757,43,cell,5,5,5,125281.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,5
59,3.23,3.613769,13.349689,0.08652374893426895,0.1730474978685379,0.0027132798817764738,5288,19,cell,2,2,4,63276.0,161134112.0,31744642.0,23.76183029461171,0.7359315085425454,2,4
60,8.84,0.85029864,14.837711,0.13817137479782104,0.2763427495956421,0.011049505585083445,4513,52,cell,0,0,0,133226.0,0.0,0.0,0.0,0.0,0,0
61,7.65,15.560465,9.268255,0.396,0.792,0.26012025260249794,4562,45,cell,6,6,2,2439495.0,122872848.0,12707566.0,30.383370201744615,0.503321841750601,6,2
62,3.74,6.5472994,8.758076,0.22367142140865326,0.4473428428173065,0.04687271418519751,4021,22,cell,1,1,6,479410.0,46168764.0,3385949.0,22.67898159477708,0.27009761837532253,1,6
63,3.4,8.715561,8.5880165,0.1482151597738266,0.2964303195476532,0.013638496256877691,3517,20,cell,1,1,5,103639.0,46168764.0,3385949.0,22.67898159477708,0.27009761837532253,1,5
64,6.8,8.205381,28.144884,0.12901312112808228,0.25802624225616455,0.00899477398561272,4274,40,cell,5,5,2,99909.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,2
65,7.31,9.31077,25.211355,0.10184767097234726,0.20369534194469452,0.0044252918269246586,3314,43,cell,5,5,3,59541.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,3
66,1.7,5.9946055,7.0999937,0.26208850741386414,0.5241770148277283,0.07541062529751419,4387,10,cell,1,1,1,630152.0,46168764.0,3385949.0,22.67898159477708,0.27009761837532253,1,1
